mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;ue_ident;timestamp;id_ue;mob_pattern
5001;4;8;120000;2;8;7.2;8.5;6;90000;2;7;35000;1;90;0;42000;0;0;18;-4.5;-6.8;0;0;0;0;0;0;-76;0;-71;70;4;8;7;8;0;7;0;0;0;0;5001;166685935406525;1;static
5002;10;18;500000;6;0;3.5;4.1;9;60000;2;9;18000;1;90;0;9000;0;0;20;-1.2;-11.0;0;0;0;0;0;0;-92;0;-89;65;5;8;7;15;0;7;0;0;0;0;5002;166685935406526;2;pedestrian
5003;15;24;180000;7;0;27.0;28.0;23;220000;6;0;500;1;90;0;25000;0;0;30;0.0;0.1;0;0;0;0;0;0;-44;0;-41;82;2;8;7;22;0;7;0;0;0;0;5003;166685935406527;3;static
5004;2;4;70000;1;10;18.0;19.0;8;65000;3;3;12000;1;90;0;15000;0;0;22;-8.0;-0.5;0;0;0;0;0;0;-60;0;-58;72;4;8;7;10;0;7;0;0;0;0;5004;166685935406528;4;car
5005;8;12;140000;3;12;15.0;16.0;10;120000;4;11;14000;1;90;0;17000;0;0;20;-2.5;-3.0;0;0;0;0;0;0;-63;0;-60;74;8;8;7;12;0;7;0;0;0;0;5005;166685935406529;5;pedestrian
5006;6;10;160000;4;6;10.0;11.0;9;130000;3;5;16000;1;90;0;18000;0;0;19;-3.5;-5.0;0;0;0;0;0;0;-70;0;-67;71;5;8;7;11;0;7;0;0;0;0;5006;166685935406530;6;car
5007;14;22;260000;8;1;24.0;25.0;20;230000;7;0;8000;1;90;0;45000;0;0;30;0.0;0.2;0;0;0;0;0;0;-47;0;-43;81;2;8;7;20;0;7;0;0;0;0;5007;166685935406531;7;static
5008;15;7;300000;8;0;28.0;29.0;6;260000;7;0;4000;1;90;0;7000;0;0;31;0.1;0.3;0;0;0;0;0;0;-43;0;-40;83;2;8;7;8;0;7;0;0;0;0;5008;166685935406532;8;static
5009;3;6;60000;2;7;5.0;5.5;5;50000;2;8;28000;1;90;0;26000;0;0;15;-5.5;-9.5;0;0;0;0;0;0;-96;0;-92;64;5;8;7;7;0;7;0;0;0;0;5009;166685935406533;9;pedestrian
5010;15;26;720000;8;0;29.0;30.0;24;450000;8;0;0;1;90;0;0;0;0;31;0.0;0.0;0;0;0;0;0;0;-42;0;-40;84;2;8;7;23;0;7;0;0;0;0;5010;166685935406534;10;static
