id,query
0,"Degraded uplink radio quality with high buffer occupancy and throughput reduction, indicating potential interference or mobility issues affecting link adaptation and resource allocation."
1,Degraded uplink radio quality with high buffer occupancy leading to increased MAC scheduling requests and reduced throughput.
2,Throughput degradation observed with high uplink radio quality but low channel quality indication and frequent buffer status reporting.
3,"Throughput degradation observed with high BSR and low SNR, indicating potential issues with uplink radio quality and channel conditions."
4,"Uplink throughput degradation with high buffer status reporting and low signal-to-noise ratio, indicating potential radio link performance issues under cell edge conditions."
5,Degraded uplink radio quality with high buffer occupancy leading to inefficient MAC scheduling and reduced uplink throughput.
6,"Throughput degradation observed at cell edge conditions with high BSR and moderate uplink rate, indicating potential channel quality issues and inefficient MAC scheduling."
7,Throughput degradation observed at cell edge conditions with high BSR and SNR offsets indicating potential issues in uplink radio quality and channel conditions.
8,Throughput degradation observed at cell edge conditions with degraded channel quality and increased buffer status reporting.
9,"Throughput degradation observed with high uplink throughput and low channel quality, indicating potential link adaptation issues or radio resource congestion."
